"","V1","V2"
"3180","MESH:D000015","MESH:D003110"
"3181","MESH:D000015","MESH:D003324"
"3182","MESH:D000015","MESH:D003327"
"3183","MESH:D000015","MESH:D003424"
"3185","MESH:D000015","MESH:D003866"
"3186","MESH:D000015","MESH:D003872"
"3187","MESH:D000015","MESH:D003875"
"3188","MESH:D000015","MESH:D003876"
"3189","MESH:D000015","MESH:D003877"
"3190","MESH:D000015","MESH:D003921"
"3191","MESH:D000015","MESH:D003924"
"3192","MESH:D000015","MESH:D003928"
"3194","MESH:D000015","MESH:D004195"
"3195","MESH:D000015","MESH:D004646"
"3196","MESH:D000015","MESH:D004715"
"3197","MESH:D000015","MESH:D004827"
"3198","MESH:D000015","MESH:D004938"
"3199","MESH:D000015","MESH:D005234"
"3200","MESH:D000015","MESH:D005355"
"3201","MESH:D000015","MESH:D005706"
"3202","MESH:D000015","MESH:D005909"
"3203","MESH:D000015","MESH:D005910"
"3204","MESH:D000015","MESH:D005911"
"3205","MESH:D000015","MESH:D005923"
"3206","MESH:D000015","MESH:D006130"
"3207","MESH:D000015","MESH:D006258"
"3208","MESH:D000015","MESH:D006319"
"3209","MESH:D000015","MESH:D006331"
"3210","MESH:D000015","MESH:D006332"
"3211","MESH:D000015","MESH:D006333"
"3212","MESH:D000015","MESH:D006394"
"3213","MESH:D000015","MESH:D006528"
"3214","MESH:D000015","MESH:D006529"
"3215","MESH:D000015","MESH:D006548"
"3216","MESH:D000015","MESH:D006930"
"3217","MESH:D000015","MESH:D006943"
"3218","MESH:D000015","MESH:D006949"
"3219","MESH:D000015","MESH:D006965"
"3220","MESH:D000015","MESH:D006967"
"3221","MESH:D000015","MESH:D006973"
"3222","MESH:D000015","MESH:D006984"
"3223","MESH:D000015","MESH:D007022"
"3224","MESH:D000015","MESH:D007247"
"3225","MESH:D000015","MESH:D007249"
"3226","MESH:D000015","MESH:D007333"
"3227","MESH:D000015","MESH:D007414"
"3228","MESH:D000015","MESH:D007511"
"3229","MESH:D000015","MESH:D007674"
"3230","MESH:D000015","MESH:D007676"
"3231","MESH:D000015","MESH:D007680"
"3232","MESH:D000015","MESH:D007859"
"3233","MESH:D000015","MESH:D007938"
"3234","MESH:D000015","MESH:D008103"
"3235","MESH:D000015","MESH:D008105"
"3236","MESH:D000015","MESH:D008106"
"3237","MESH:D000015","MESH:D008107"
"3239","MESH:D000015","MESH:D008113"
"3240","MESH:D000015","MESH:D008114"
"3241","MESH:D000015","MESH:D008171"
"3242","MESH:D000015","MESH:D008175"
"3243","MESH:D000015","MESH:D008180"
"3244","MESH:D000015","MESH:D008207"
"3245","MESH:D000015","MESH:D008223"
"3246","MESH:D000015","MESH:D008325"
"3247","MESH:D000015","MESH:D008527"
"3248","MESH:D000015","MESH:D008545"
"3249","MESH:D000015","MESH:D008569"
"3250","MESH:D000015","MESH:D008607"
"3251","MESH:D000015","MESH:D008654"
"3252","MESH:D000015","MESH:D009062"
"3253","MESH:D000015","MESH:D009101"
"3254","MESH:D000015","MESH:D009133"
"3255","MESH:D000015","MESH:D009190"
"3256","MESH:D000015","MESH:D009196"
"3257","MESH:D000015","MESH:D009202"
"3258","MESH:D000015","MESH:D009203"
"3259","MESH:D000015","MESH:D009361"
"3260","MESH:D000015","MESH:D009362"
"3261","MESH:D000015","MESH:D009364"
"3262","MESH:D000015","MESH:D009369"
"3263","MESH:D000015","MESH:D009374"
"3264","MESH:D000015","MESH:D009396"
"3265","MESH:D000015","MESH:D009404"
"3266","MESH:D000015","MESH:D009410"
