"","Aging..Premature","Asthenia","Fever","Fever.of.Unknown.Origin","Sweating.Sickness","Hypothermia","Body.Weight","Birth.Weight","Fetal.Macrosomia","Body.Weight.Changes","Weight.Gain","Weight.Loss","Emaciation","Cachexia","Fetal.Weight","Overweight","Obesity","Obesity..Morbid","Thinness","Cardiac.Output..High","Cardiac.Output..Low","Chills","Cyanosis","Infantile.Apparent.Life.Threatening.Event","Edema","Edema..Cardiac","Hydrops.Fetalis","Eye.Manifestations","Eye.Hemorrhage","Eye.Pain","Susac.Syndrome","Fatigue","Mental.Fatigue","Feminization","Fetal.Distress","Flushing","Heart.Murmurs","Systolic.Murmurs","Hot.Flashes","Hypergammaglobulinemia","Intermittent.Claudication","Mobility.Limitation","Motion.Sickness","Space.Motion.Sickness","Neurologic.Manifestations","Cerebrospinal.Fluid.Otorrhea","Cerebrospinal.Fluid.Rhinorrhea","Decerebrate.State","Dyskinesias","Ataxia","Cerebellar.Ataxia","Gait.Ataxia","Athetosis","Catalepsy","Chorea","Dystonia","Torticollis","Hyperkinesis","Hypokinesia","Myoclonus","Psychomotor.Agitation","Akathisia..Drug.Induced","Synkinesis","Tics","Tremor","Gait.Disorders..Neurologic","Gait.Apraxia","Meningism","Neurobehavioral.Manifestations","Apraxias","Alien.Hand.Syndrome","Catatonia","Communication.Disorders","Language.Disorders","Agraphia","Anomia","Dyslexia","Dyslexia..Acquired","Alexia..Pure","Language.Development.Disorders","Speech.Disorders","Aphasia","Aphasia..Broca","Aphasia..Conduction","Aphasia..Primary.Progressive","Primary.Progressive.Nonfluent.Aphasia","Aphasia..Wernicke","Articulation.Disorders","Dysarthria","Echolalia","Mutism","Stuttering","Learning.Disorders","Confusion","Delirium","Consciousness.Disorders","Unconsciousness","Coma","Persistent.Vegetative.State","Stupor","Syncope","Syncope..Vasovagal","Lethargy","Memory.Disorders","Amnesia","Amnesia..Anterograde","Amnesia..Retrograde","Amnesia..Transient.Global","Korsakoff.Syndrome","Mental.Retardation","Perceptual.Disorders","Agnosia","Gerstmann.Syndrome","Prosopagnosia","Auditory.Perceptual.Disorders","Hallucinations","Illusions","Phantom.Limb","Psychomotor.Disorders","Apraxia..Ideomotor","Fasciculation","Muscle.Cramp","Muscle.Hypertonia","Muscle.Rigidity","Muscle.Spasticity","Muscle.Hypotonia","Muscle.Weakness","Muscular.Atrophy","Sarcopenia","Myokymia","Myotonia","Spasm","Hemifacial.Spasm","Trismus","Tetany","Orthostatic.Intolerance","Pain","Back.Pain","Low.Back.Pain","Facial.Pain","Headache","Slit.Ventricle.Syndrome","Labor.Pain","Metatarsalgia","Neck.Pain","Neuralgia","Neuralgia..Postherpetic","Piriformis.Muscle.Syndrome","Sciatica","Pain..Intractable","Pain..Referred","Paralysis","Facial.Paralysis","Gastroparesis","Hemiplegia","Ophthalmoplegia","Ophthalmoplegia..Chronic.Progressive.External","Supranuclear.Palsy..Progressive","Paraplegia","Brown.Sequard.Syndrome","Pseudobulbar.Palsy","Quadriplegia","Respiratory.Paralysis","Vocal.Cord.Paralysis","Paresis","Paraparesis","Paraparesis..Spastic","Psychophysiologic.Disorders","Pupil.Disorders","Anisocoria","Miosis","Horner.Syndrome","Tonic.Pupil","Reflex..Abnormal","Reflex..Babinski","Seizures","Sensation.Disorders","Dizziness","Hearing.Disorders","Hearing.Loss","Deafness","Deaf.Blind.Disorders","Hearing.Loss..Bilateral","Hearing.Loss..Conductive","Hearing.Loss..Functional","Hearing.Loss..High.Frequency","Hearing.Loss..Mixed.Conductive.Sensorineural","Hearing.Loss..Sensorineural","Hearing.Loss..Central","Hearing.Loss..Noise.Induced","Presbycusis","Usher.Syndromes","Hearing.Loss..Sudden","Hearing.Loss..Unilateral","Hyperacusis","Tinnitus","Olfaction.Disorders","Somatosensory.Disorders","Hyperalgesia","Hyperesthesia","Hypesthesia","Paresthesia","Taste.Disorders","Ageusia","Dysgeusia","Vision.Disorders","Amblyopia","Blindness","Amaurosis.Fugax","Blindness..Cortical","Color.Vision.Defects","Diplopia","Hemianopsia","Photophobia","Scotoma","Vision..Low","Sleep.Disorders","Sleep.Deprivation","Urinary.Bladder..Neurogenic","Vertigo","Voice.Disorders","Aphonia","Dysphonia","Hoarseness","Oral.Manifestations","Oral.Hemorrhage","Abdominal.Pain","Abdomen..Acute","Colic","Renal.Colic","Arthralgia","Shoulder.Pain","Chest.Pain","Angina.Pectoris","Acute.Coronary.Syndrome","Angina..Unstable","Angina.Pectoris..Variant","Earache","Toothache","Flank.Pain","Glossalgia","Pain..Postoperative","Pelvic.Pain","Dysmenorrhea","Pseudophakia","Reticulocytosis","Aerophagy","Anorexia","Constipation","Coprophagia","Diarrhea","Diarrhea..Infantile","Dyspepsia","Encopresis","Eructation","Flatulence","Gagging","Halitosis","Heartburn","Hiccup","Hyperphagia","Bulimia","Nausea","Postoperative.Nausea.and.Vomiting","Vomiting","Hematemesis","Morning.Sickness","Hyperemesis.Gravidarum","Vomiting..Anticipatory","Anoxia","Fetal.Hypoxia","Apnea","Cheyne.Stokes.Respiration","Cough","Dyspnea","Dyspnea..Paroxysmal","Hemoptysis","Hypercapnia","Hyperoxia","Hyperventilation","Hypocapnia","Hypoventilation","Mouth.Breathing","Respiratory.Aspiration","Respiratory.Sounds","Snoring","Sneezing","Skin.Manifestations","Cafe.au.Lait.Spots","Ecchymosis","Jaundice","Jaundice..Obstructive","Livedo.Reticularis","Necrolytic.Migratory.Erythema","Pallor","Pruritus","Tinea.Pedis","Purpura","Purpura.Fulminans","Purpura..Hyperglobulinemic","Purpura..Schoenlein.Henoch","Purpura..Thrombocytopenic","Purpura..Thrombocytopenic..Idiopathic","Purpura..Thrombotic.Thrombocytopenic","Waterhouse.Friderichsen.Syndrome","Striae.Distensae","Dysuria","Hypercalciuria","Nocturia","Oliguria","Polyuria","Prostatism","Proteinuria","Albuminuria","Hemoglobinuria","Urinary.Bladder..Overactive","Urinary.Incontinence","Urinary.Incontinence..Stress","Urinary.Incontinence..Urge","Urinoma","Virilism","Hirsutism"
"MESH:D012868",6.929103,0,0,0,0,0,0.6859757,0,0,0,0,0,0,1.994724,0,0,0.8325537,0,0,0,0,0,0,0,0.5958781,0,2.341,0,0,0,0,1.138013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.417571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.486567,0,0,0,0,0,0,0,1.887449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.44706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.656511,0,2.921644,0,0,0,0,0,0,0,0,0.6587734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8451669,0.3433219,0,0.7350166,0,0,0,0,2.26742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.098138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.607857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MESH:D012595",3.464551,0,6.189376,1.473155,0,0,2.400915,1.407131,0,0,1.48669,4.000215,0,1.994724,0,0,0,0,0,3.836494,2.142796,0,17.4341,0,16.68459,0,0,18.09452,0,0,0,11.38013,0,0,0,0,0,0,0,25.18688,4.436606,0,0,0,1.189004,0,0,0,0,0,1.708786,0,0,0,1.992983,1.536109,0,0,0,1.775071,2.24256,0,0,0,1.739353,0,0,0,0,0,0,2.701907,0,0,0,0,0,0,0,0,2.305833,1.810662,0,0,0,0,0,0,2.026585,0,0,0,0,1.508948,2.083955,0,0.9279728,2.62417,0,0,2.981783,0,0,0,2.171486,0,0,0,0,1.810893,0,0,0,0,0,3.446576,0,0,0,0,0,4.48512,0,0,1.72728,0,10.9229,17.52986,0,0,0,9.570942,0,7.793881,0,0,15.81056,0,0,1.972329,7.076514,0,0,0,1.958792,1.538314,0,0,6.508228,1.992983,0,1.937886,1.357097,3.297497,5.178529,3.989542,0,0,1.277479,0,0,4.107419,2.48942,3.975559,2.575472,0,0,2.965011,1.746123,0,0,2.209626,0,7.035655,0,5.071002,0.3433219,5.369886,0.7350166,0,2.457054,0,0,0,0,0,0,9.718847,0,0,0,0,2.585302,0,0,1.974034,2.28823,1.045531,0,0,12.05373,6.790091,7.128275,3.585179,3.472156,1.990468,0,0,0,0,0,8.220826,0,0,0,2.256044,1.492999,0,0,4.788756,6.660979,0,3.449514,6.648381,16.79199,0,2.545451,7.188001,2.134747,0,23.6368,0,3.298682,5.810733,2.59796,2.24256,0,0,0,0,0,1.677855,0,2.760105,0,0,0,1.825261,28.69048,0,20.31014,0,10.41026,0,3.977906,3.137867,0,0,28.59182,0,0,0,6.832518,0,6.748101,0,0,2.875083,0,10.01989,0,0,0,1.314729,55.28719,3.752234,10.18245,4.221968,0,2.10513,0,7.56406,0,3.330074,1.639269,0,0,12.24714,0,0,1.454712,0,0,0,0,8.795653,0,4.252874,0,0,7.992858,5.659622,5.801683,26.20846,0,0,0,0,0,7.842036,0,0,41.21627,10.32543,0,0,0,0,0,0,0,2.483722
"MESH:D045743",3.464551,0,6.189376,1.473155,0,0,2.400915,1.407131,0,0,1.48669,5.000269,0,3.989448,0,0,0,0,0,3.836494,2.142796,0,17.4341,0,17.87634,0,0,18.09452,0,0,0,12.51814,0,0,0,0,0,0,0,25.18688,4.436606,0,0,0,1.189004,0,0,0,0,0,1.708786,0,0,0,1.992983,1.536109,0,0,0,1.775071,2.24256,0,0,0,1.739353,0,0,0,0,0,0,2.701907,0,0,0,0,0,0,0,0,2.305833,1.810662,0,0,0,0,0,0,4.05317,0,0,0,0,1.508948,2.083955,0,0.9279728,2.62417,0,0,2.981783,0,0,0,2.171486,0,0,0,0,1.810893,0,0,0,0,0,3.446576,0,0,0,0,0,4.48512,0,0,1.72728,0,11.91589,17.52986,0,0,0,9.570942,0,10.39184,0,0,17.12811,0,0,1.972329,7.076514,0,0,0,1.958792,1.538314,0,0,6.508228,1.992983,0,1.937886,1.357097,9.892492,5.178529,3.989542,0,0,1.277479,0,0,4.107419,2.48942,3.975559,3.863207,0,0,2.965011,1.746123,0,0,2.209626,0,7.035655,0,5.071002,0.3433219,5.369886,0.7350166,0,2.457054,0,0,0,0,0,0,9.718847,0,0,0,0,2.585302,0,0,1.974034,2.28823,1.045531,0,0,13.77569,6.790091,7.128275,3.585179,3.472156,1.990468,0,0,0,0,0,8.220826,0,0,0,2.256044,2.985998,0,0,4.788756,6.660979,0,3.449514,6.648381,16.79199,0,2.545451,8.625601,2.134747,0,28.0687,0,3.298682,5.810733,2.59796,2.24256,0,0,0,0,0,1.677855,0,2.760105,0,0,0,1.825261,28.69048,0,21.23333,0,10.41026,0,3.977906,3.137867,0,0,31.76869,0,0,0,6.832518,0,8.435127,0,0,2.875083,0,10.01989,0,0,0,1.314729,56.29241,3.752234,10.18245,4.221968,0,2.10513,0,7.56406,0,3.330074,1.639269,0,0,12.24714,0,0,1.454712,0,0,0,0,8.795653,0,4.252874,0,0,7.992858,5.659622,7.735578,26.20846,0,0,0,0,0,7.842036,0,0,42.46524,10.32543,0,0,0,0,0,0,0,2.483722
"MESH:D012871",13.85821,8.252877,92.84064,5.89262,0,9.727181,13.37653,9.849917,0,0,7.433449,9.000483,1.832641,1.994724,0,0.8238721,45.79045,14.02352,0,0,2.142796,0,29.63796,0,148.3736,0,2.341,25.63391,0,0,0,9.104105,0,0,2.588452,18.29808,4.726834,0,0,94.03101,8.873213,0,0,0,1.538711,0,0,0,0,6.098299,5.126357,0,2.582162,0,1.992983,1.536109,0,2.341,0,5.325213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.45875,1.810662,0,0,0,0,0,0,0,0,0,0,1.735312,1.508948,2.083955,0,0,11.80876,0,0,4.472674,0,0,1.467998,2.171486,0,0,0,0,57.04314,0,0,0,0,0,3.446576,0,0,2.663282,0,0,2.24256,0,2.401933,5.181841,4.969533,5.957946,11.68657,0,0,0,2.734555,0,2.59796,2.381207,0,36.56192,6.881571,1.590421,0,12.3839,0,0,0,1.958792,9.229885,4.098858,0,4.338819,0,0,4.360242,2.714194,0,2.589265,5.319389,0,0,3.832438,0,0,1.36914,0,0,6.438679,0,0,269.816,0,0,0,0,0,5.628524,0,15.213,3.089897,4.027414,5.145116,1.607101,25.79907,0,0,2.26742,0,0,4.003548,1.214856,0,3.194062,0,0,0,0,0,0,0,0,16.75877,5.389728,3.443922,27.16036,2.376092,0,0,6.634894,0,12.07952,0,0,2.56661,1.644165,0,5.708584,4.762413,2.256044,4.478997,5.151825,6.234771,1.596252,3.33049,0,0,19.94514,41.04708,10.30365,2.545451,10.0632,0,0,16.2503,0,3.298682,4.35805,0,4.48512,3.265949,2.817924,0,0,0,3.355711,2.041078,5.52021,0,0,0,1.825261,7.969577,0,20.31014,4.562491,2.082052,3.804059,0,3.137867,3.732233,0,0,2.953726,0,19.347,5.693765,0,6.748101,2.085862,0,0,0,4.007954,0,0,3.637823,9.203104,8.041773,0,1.697074,0,0,0,0,0,0,0,1.639269,0,0,80.2188,9.911785,55.19955,24.7301,2.498029,8.197716,0,3.535169,576.1152,59.02665,196.6954,9.367584,22.04715,83.92501,14.14906,9.669472,0,11.05174,6.401443,0,0,0,0,0,0,6.244889,2.065087,2.883522,0,22.64541,5.604352,0,0,6.681168,109.2838
"MESH:D014820",3.464551,0,0,0,0,0,0.3429878,0,0,0,1.48669,1.000054,0,0,0,0,0,0,0,0,2.142796,0,1.74341,0,0.5958781,0,0,3.015754,0,0,0,1.138013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.144436,0,0,0,0,0,0,0,0,0,0,0,3.074354,0,0,0,0,0,1.077737,0,0,0,0,0,0,2.305833,0,0,0,0,0,0,0,0,0,2.922403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.527233,0,0,0,0,0,0,0,0,1.331641,0,0,0,0,0,1.72728,0,0.9929911,0,0,0,0,1.367277,0,0,0,0,0,0,0,0,0.8845643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.329847,0,0,1.277479,0,0,1.36914,0,0,1.287736,0,3.171204,0,0,0,0,0,0,0,0,0.8451669,0,1.342471,3.675083,3.214202,4.914109,0,2.211789,0,0,6.211213,0,7.289135,0,0,0,0,0,7.170359,0,0,0,0,0,0,0,0,0,0,0,0.6634894,0,1.098138,0,0,2.56661,0,0,0,2.381207,0,0,0,0,1.596252,0,0,0,0,0,2.575912,0.8484837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9231881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.224714,9.911785,0,0,0,0,0,0,7.329711,0,0,0,0,0,1.414906,5.801683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.483722
"MESH:D003921",6.929103,0,3.094688,0,0,7.781745,777.8964,18.2927,16.68359,0,175.4294,44.00236,1.832641,3.989448,32.19002,0,267.2497,1.75294,8.011799,0,6.428387,0,0,0,11.32168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.7787,0,0,0,0,0,7.349049,0,1.536109,0,2.341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.676562,0,0,0,1.855946,0,0,0,0,0,0,35.23194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.48042,0,0,1.656511,0.9929911,17.52986,0,0,3.054049,0,0,0,2.381207,0,31.29174,0,1.590421,0,0,0,0,0,0,15.38314,0,0,0,0,0,0,0,56.05746,0,0,0,0,0,0,0,0,0,0,1.287736,0,0,0,0,0,0,0,0,2.814262,0,5.916168,1.373288,0,2.20505,0.8035505,0,0,0,0,0,0,0,6.074279,0,6.388124,3.693393,0,0,0,0,0,2.28823,1.045531,215.4699,13.47432,3.443922,1.358018,2.376092,0,0,0,0,0,0,0,0,0,0,0,0,0,1.492999,2.575912,12.46954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.650521,0,14.7401,5.539129,0,0,0,0,0,0,0,0,0,91.1741,0,0,0,0,0,0,0,0,66.13125,5.468451,0,0,1.314729,0,0,0,4.221968,8.847572,0,0,0,0,0,0,0,0,0,0,0,1.454712,0,0,0,0,1.465942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.21803,0,201.0854,526.5971,0,10.63,3.235059,0,0,0,0,0
"MESH:D003924",6.929103,0,1.856813,0,0,3.890872,552.8964,209.6625,93.42811,0,579.809,671.036,0,7.978896,0,145.0015,3861.384,254.1763,181.6008,0,25.71355,0,1.74341,0,42.90322,0,0,0,2.752642,0,0,25.03629,0,0,0,62.73629,0,0,0,1.679125,62.11249,2.763857,0,0,0,3.188298,0,0,4.487712,1.21966,1.708786,0,2.582162,0,15.94387,4.608327,2.154991,0,0,1.775071,0,3.110911,0,0,6.957411,8.723828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.152917,1.810662,0,0,0,0,0,0,2.026585,0,0,0,10.41187,6.035793,2.083955,2.631388,0,5.248339,0,0,2.981783,9.547702,0,33.76394,2.171486,0,0,0,0,9.054467,1.386057,0,0,0,0,5.169865,0,3.22936,2.663282,0,3.074354,4.48512,0,0,0,0,17.87384,14.60822,4.763834,0,0,1.367277,0,0,0,5.211859,28.98603,2.293857,1.590421,1.972329,7.076514,0,0,0,5.876376,12.30651,0,0,2.169409,1.992983,0,0.9689428,6.785485,92.32993,7.767794,9.308931,7.293746,0,1.277479,0,0,5.476559,2.48942,0,5.150943,0,0,13.34255,8.730616,0,0,0,0,4.221393,0,4.225835,4.806507,16.10966,5.880133,14.46391,62.65489,0,2.211789,4.53484,0,6.211213,0,31.58625,0,3.194062,7.386786,0,7.755906,0,0,5.922101,4.57646,3.136593,11.97055,0,10.33177,6.790091,11.88046,0,0,33.83796,0,50.51436,0,0,20.53288,9.864992,6.246157,0,4.762413,9.024174,40.31097,23.18321,8.313029,1.596252,0,0,0,0,0,0,14.42422,2.8752,0,0,1.4773,4.840855,7.696926,95.8771,64.94901,49.33632,3.265949,5.635849,2.730582,0,0,5.033566,0,0,3.752234,0,0,5.475782,14.34524,0,24.92608,0,20.82052,0,0,28.24081,0,3.241408,0,0,26.3925,19.347,42.13386,3.4201,20.2443,0,0,0,0,27.05369,0,0,0,7.888375,8.041773,0,1.697074,0,0,2.10513,0,2.521353,0,0,1.639269,22.08084,0,0,0,0,1.454712,2.498029,0,6.150129,0,8.795653,10.41647,0,0,0,0,0,0,2.184039,0,0,0,0,4.172966,0,42.49623,4.658474,580.7747,3828.671,20.18465,7.086665,19.41035,5.604352,0,0,4.454112,17.38606
"MESH:D006943",3.464551,0,8.665127,1.473155,0,21.3998,83.34605,64.72802,66.73436,0,60.95428,9.000483,0,3.989448,7.153338,9.886465,363.8259,7.01176,18.6942,3.836494,2.142796,0,0,0,4.171147,0,0,0,0,0,0,4.552053,0,0,0,0,0,0,0,0,4.436606,2.763857,0,0,0.1398828,0,0,2.944676,13.46314,1.21966,0,0,10.32865,0,85.69828,0,0,0,0,0,0,0,0,0,3.478706,1.744766,0,0,0,0,0,0,0,1.077737,0,0,0,0,0,0,1.152917,0,0,0,0,0,0,0,0,0,0,0,1.735312,1.508948,8.335821,0.8771293,2.783918,74.78883,9.28524,0,0,0,0,7.339988,0,0,0,0,0,1.810893,0,0,0,0,0,6.893153,0,0,1.331641,0,0,4.48512,0,2.401933,0,3.313022,0,1.460822,0,0,0,0,0,0,0,0,4.282027,0,0,0,0.8845643,0,0,0,0,0,0,0,0,1.992983,0,1.453414,0,9.892492,2.589265,2.659695,0,0,2.554959,0,0,0,0,0,0,2.235886,0,1.482506,1.746123,3.350141,0,2.209626,0,1.407131,0,46.48418,0.6866438,0,0,0,1.228527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.36466,2.694864,0,2.716036,2.376092,0,0,4.644426,0,4.392553,0,2.944676,2.56661,0,10.41026,0,0,0,0,2.575912,0,0,0,0,0,0,1.865776,0,5.939386,2.8752,0,0,0,0,1.099561,5.810733,77.93881,4.48512,0,0,0,0,0,1.677855,0,0,0,0,0,5.475782,1.593915,0,3.692753,9.124981,2.082052,0,7.955811,6.275735,0,0,0,0,14.39591,0,4.555012,10.2603,2.530538,0,0,0,0,47.09346,2.734225,1.876554,0,1.314729,0,0,0,18.99885,14.74595,0,0,0,0,0,1.639269,0,0,0,0,0,0,0,0,0,0,0,0,2.126437,0,0,0,0,1.933894,0,0,0,0,0,0,2.614012,2.360901,0,22.4816,72.27803,2.883522,0,0,0,0,0,0,0
"MESH:D007333",6.929103,0,0.6189376,0,0,0,21.26525,23.92123,0,0,26.76042,17.00091,0,0,0,15.65357,328.0261,26.2941,13.353,0,0,0,0,0,0.5958781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.490891,0,0,1.467998,0,0,0,0,0,2.71634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.228527,0,0,0,0,0,0,1.214856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.098138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.452683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.197955,0,0,0,0,0,0,0,0,1.001989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.639269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.933894,0,0,0,0,0,0,0,0,0,0,20.65087,0,0,0,0,0,0,4.454112,27.32094
"MESH:D024821",3.464551,0,0,0,0,0,90.54879,61.91376,20.02031,0,144.2089,191.0103,0,1.994724,3.576669,108.7511,1658.447,96.4117,32.0472,0,10.71398,0,0,0,1.191756,0,0,0,0,0,0,1.138013,0,3.762386,0,0,0,0,3.405711,0,11.09152,8.291571,0,0,0,0,0,0,0.7479521,0,0,0,0,0,0,1.536109,0,0,0,0,0,3.110911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.026585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.403993,0,0,0,0,0,2.71634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.656511,1.985982,1.460822,19.05534,0,0,0,0,0,0,0,0.6587734,0,0,0,0.8845643,0,0,0,0,0,0,0,0,0,0,0,0,3.297497,1.294632,0,0,0,1.277479,0,0,0,0,0,0,0,0,2.965011,0,0,0,0,0,0,0,0,0.3433219,4.027414,0,0,0,0,0,0,0,0,0,1.214856,0,0,0,0,0,0,0,1.974034,0,0,0,0,0,0,0,0,0,0.6634894,0,0,0,0,0,0,0,0,0,0,17.91599,12.87956,0,4.788756,0,0,0,0,0,0,0,0,0,0,0,0,4.398243,14.52683,31.17553,11.2128,6.531898,0,0,0,0,0,0,0,0,0,0,1.825261,0,0,1.846376,0,0,0,0,0,0,0,0,0,19.19455,0,2.277506,0,0,0,0,0,0,8.015909,0,0,0,0,2.010443,0,0,0,0,0,0,0,0,0,0,8.280314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.97542,21.23262,227.1595,0,10.63,0,0,0,0,0,14.90233
"MESH:D006949",6.929103,2.063219,2.475751,0,0,0,165.6631,11.25705,0,0,47.57407,50.00269,0,1.994724,3.576669,10.71034,555.3133,14.02352,13.353,0,2.142796,0,0,0,4.171147,0,0,19.6024,0,0,0,2.276026,0,0,2.588452,13.07006,0,0,6.811422,5.037375,24.40134,0,0,0,0.1398828,0,0,0,0,2.439319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.739353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.735312,0,0,0,0,2.62417,0,0,0,0,0,4.403993,0,0,0,0,0,4.527233,0,0,0,0,0,0,0,0,1.331641,0,0,0,0,0,1.72728,1.656511,2.978973,2.921644,0,0,0,0,0,0,0,0,6.258347,1.146929,1.590421,0,3.538257,0,0,0,0,0,0,0,0,0,0,0.9689428,1.357097,3.297497,0,0,0,0,5.109917,0,0,2.738279,0,0,2.575472,0,0,1.482506,0,0,0,0,0,1.407131,0,3.380668,0.3433219,10.73977,3.675083,0.8035505,7.371163,0,0,0,0,3.105606,0,10.9337,0,9.582185,3.693393,0,7.755906,0,0,9.870168,0,0,0,0,1.721961,2.716036,0,0,0,3.317447,0,1.098138,0,0,0,0,0,0,0,0,0,2.575912,0,9.577512,0,0,0,2.216127,0,0,2.545451,18.6888,6.404242,0,2.9546,0,2.199122,94.42442,10.39184,24.66816,0,0,0,0,0,0,0,0,0,0,0,0,3.187831,0,6.462317,0,2.082052,0,0,3.137867,0,3.241408,3.176869,0,4.798637,2.763857,3.416259,0,1.687025,2.085862,0,0,0,14.02784,2.734225,0,3.637823,0,1.005222,0,0,0,0,2.10513,0,0,0,0,0,2.760105,0,5.511215,0,0,69.82617,0,0,0,0,4.397826,0,2.126437,0,7.349049,0,1.414906,0,0,0,0,0,0,0,2.614012,4.721803,4.658474,101.1672,76.40821,2.883522,7.086665,0,0,0,0,2.227056,4.967444
