"","gene_ID_1","gene_ID_2"
"2303",3320,3326
"2305",5426,56655
"2308",7150,7153
"2310",7153,7155
"2324",1022,3066
"2338",3309,3312
"2345",203068,7277
"2347",3066,8841
"2351",5422,5426
"2365",2534,7525
"2369",5426,5427
"2370",5144,5566
"2373",54107,5426
"2381",10499,8648
"2383",5111,7150
"2387",4067,7525
"2399",1019,5111
"2407",1017,595
"2411",2339,2342
"2419",2064,5287
"2422",1956,5287
"2425",5690,5693
"2429",5689,5693
"2432",5689,5690
"2434",1459,1460
"2435",1017,890
"2436",332,9212
"2438",1457,1460
"2441",28996,7157
"2442",3065,3066
"2449",3678,3690
"2450",3685,4323
"2454",5888,7157
"2456",1786,3065
"2458",5111,983
"2460",3065,8841
"2462",3312,3320
"2463",2185,3690
"2466",3091,328
"2468",4306,8648
"2472",3690,5747
"2475",1017,5422
"2479",1786,5111
"2482",1017,5111
"2486",2099,7157
"2488",3685,5029
"2490",142,5422
"2491",5111,5426
"2492",5595,9759
"2495",54107,56655
"2501",5422,983
"2514",5111,595
"2515",5594,9759
"2522",890,983
"2537",3082,4233
"2539",332,3619
"2541",1021,595
"2543",3685,3690
"2544",1956,2064
"2545",1019,595
"2546",7046,7048
"2547",1022,2099
"2548",207,367
"2550",3690,6714
"2551",5580,6714
"2552",3619,9212
"2554",2099,6714
"2556",1147,2099
"2561",6257,7421
"2568",2099,2932
"2569",1019,1457
"2571",1021,5127
"2572",5580,5587
"2573",1457,5594
"2574",5582,5587
"2578",5170,5604
"2579",5603,7157
"2580",2890,817
"2581",2268,3815
"2582",1019,1460
"2584",5241,5594
"2585",5058,6790
"2586",4233,5590
"2587",207,5579
"2591",5594,7272
"2593",1025,4137
"2594",2931,5584
"2601",5602,9479
"2603",1017,5595
"2605",1021,2903
"2606",150,5578
"2607",5606,5606
"2608",2904,5588
"2610",5578,5734
"2614",5594,5610
"2615",5465,5602
"2616",5600,6256
"2618",1025,6241
"2620",1051,5598
"2624",10499,5594
"2625",1454,6571
"2626",2893,5590
"2628",4985,5582
"2630",5597,6195
"2636",4233,5578
"2639",1459,7153
"2640",1457,7067
"2641",5566,84254
"2644",5599,9261
"2645",1827,5597
"2646",3984,9475
"2647",5585,9734
"2648",2064,983
"2650",5579,5601
"2651",2739,815
"2652",1021,1022
"2653",7155,983
"2654",5594,5608
"2656",3091,5594
"2661",5465,5599
"2663",1021,5604
"2664",2904,5580
"2668",5597,983
"2669",5604,983
"2670",1022,4137
"2671",9833,9833
"2674",1432,572
"2675",11184,5587
"2677",301,5581
"2678",1111,983
"2679",5595,7153
"2680",554,5566
"2682",3105,5582
"2683",5595,5597
"2686",1021,6241
"2687",6622,815
"2688",3761,5578
"2690",2099,5603
"2691",2560,5584
"2694",1080,5582
"2696",2908,5598
"2697",4323,6714
"2698",185,6714
"2700",3105,5580
"2701",5587,5588
"2702",2931,5567
"2703",1017,1111
"2708",1827,5596
"2709",57118,8536
"2711",5601,5606
"2713",5602,5606
"2714",5243,5567
"2717",142,5594
"2719",1021,1460
"2721",1051,25
"2724",3939,983
"2727",4137,5567
"2728",6197,6714
"2731",1022,5604
"2732",4296,5604
"2733",27347,6559
"2738",5170,5979
"2740",3105,5579
"2741",5567,6714
"2742",4313,5578
"2743",7157,9261
"2746",5578,6915
"2747",1457,7298
"2751",3105,5588
"2753",2534,5566
"2754",1017,5241
"2755",2534,6197
"2756",154,5567
"2758",1021,4137
"2759",2099,5597
"2760",1019,4137
"2763",2932,5582
"2764",1457,207
"2765",5321,5594
"2767",5597,7157
"2769",5170,5605
"2771",2890,816
"2772",1025,5604
"2773",302,5581
"2775",5243,5580
"2778",1432,4638
"2780",5599,6256
"2783",3643,5581
"2784",207,5578
"2786",4750,7416
"2788",2534,613
"2790",2561,5584
"2792",1019,5058
"2794",4233,5582
"2795",3055,6777
"2797",5598,7157
"2800",1454,5562
"2801",5321,5597
"2802",41,5567
"2805",208,4486
"2806",2893,5567
"2807",10645,1613
"2808",207,7465
"2809",2908,2932
"2810",5139,5566
"2813",2566,5584
"2814",5581,6530
"2818",1459,2099
"2819",1051,5599
"2820",8491,8491
"2821",5321,815
"2822",1956,5590
"2823",3932,5602
"2824",1432,1827
"2826",5580,9266
"2827",1452,6622
"2829",1017,1457
"2830",5243,5588
"2831",2903,983
"2836",5594,5597
"2841",1612,23604
"2843",207,9891
"2844",2560,5579
"2846",1021,5058
"2847",22848,983
"2848",5598,596
"2850",5465,5598
"2853",5595,8648
"2854",150,5584
"2857",1432,7157
"2859",1017,5127
"2860",5578,5587
"2861",3932,5600
"2862",5582,5734
"2865",4985,5579
"2868",301,5580
"2869",2931,595
"2872",5058,673
"2874",5610,6197
"2876",2099,5602
"2877",1956,5582
"2882",4638,5594
"2883",5243,5590
"2887",240,5566
"2888",1827,5602
"2890",5599,6195
"2894",208,5894
"2899",8648,9261
"2902",5566,8428
"2907",1022,25
"2908",2890,5584
"2910",5599,9064
"2914",2931,4638
"2916",5596,6256
"2919",5567,55869
"2920",1080,5590
"2921",5567,6790
"2922",5567,783
"2923",1051,5567
"2924",2561,5590
"2925",5562,84254
"2926",5599,5914
"2927",3932,5601
"2930",2904,5590
"2933",5566,5979
"2934",2534,351
"2935",154,5566
"2936",5590,7153
"2937",5593,5593
"2939",4843,5595
"2942",5580,5734
"2943",5596,5597
"2945",2099,5596
"2946",5601,5605
"2947",1025,6714
"2948",1901,208
"2949",2100,6195
"2951",5321,5595
"2952",208,7465
"2954",2890,815
"2955",1445,7525
"2957",5243,5581
"2961",301,5590
"2963",5291,5291
"2964",1025,1460
"2965",2099,5567
"2966",1612,6195
"2969",2931,4609
"2970",5584,5894
"2972",332,5347
"2977",472,51347
"2978",207,5914
"2979",5602,5608
"2981",4067,613
"2983",5595,7272
"2984",3061,6714
"2986",10014,2011
"2987",1432,5605
"2988",7006,7006
"2991",3717,5058
"2992",5584,5587
"2997",208,8570
"2998",2560,5567
"2999",3480,5170
"3001",4638,5600
"3002",1080,5588
"3003",2011,9759
"3005",5603,6195
"3008",3932,5598
"3009",5604,5605
"3012",1019,7157
"3014",1432,3932
"3015",2566,815
"3017",2908,5600
"3018",5596,596
"3019",2932,4638
"3020",3932,5597
"3022",1612,1613
"3023",5567,5894
"3027",5597,5603
"3029",1017,6241
"3036",5566,5734
"3041",1022,22858
"3042",2893,5579
"3043",1051,5596
"3044",5594,7068
"3045",5753,6777
"3047",1051,5566
"3048",4985,5588
"3050",5347,6793
"3051",154,208
"3052",1956,5581
"3054",1080,5580
"3056",1459,7298
"3058",4638,5601
"3059",5562,7157
"3061",5142,5594
"3062",3932,5599
"3064",4233,5747
"3067",5581,7153
"3068",23012,9891
"3069",10645,23604
"3070",1025,25
"3071",2893,5580
"3072",3767,5578
"3073",1827,5601
"3077",2099,5599
"3080",208,673
"3081",208,9891
"3082",208,572
"3084",5601,5608
"3085",3757,5567
"3087",1432,6256
"3089",5590,9266
"3091",2890,5567
"3092",5596,6195
"3093",5603,6256
"3094",2908,5595
"3095",1452,1454
"3098",1956,5579
"3102",5597,5599
"3104",4842,5579
"3105",1459,5241
"3106",2902,5578
"3108",4233,5588
"3109",3815,640
"3110",1051,6197
"3114",2931,5581
"3115",5566,5566
"3117",1586,5566
"3118",5593,8654
"3119",1432,5597
"3120",1017,3615
"3123",2932,6195
"3124",2902,5588
"3129",5601,6256
"3130",2893,5588
"3131",2566,5582
"3137",5321,5596
"3139",5597,596
"3140",11183,2932
"3141",240,815
"3144",5243,5582
"3145",1459,572
"3146",27,5159
"3149",367,5599
"3151",301,5566
"3152",1432,9064
"3153",2561,5582
"3156",25,4792
"3158",1019,7525
"3161",3105,5581
"3163",1457,7124
"3164",660,7006
"3165",207,5290
"3166",2902,5580
"3167",3551,5578
"3168",3326,6714
"3169",4842,5567
"3170",5594,5606
"3171",10645,5562
"3173",1022,5916
"3174",1021,25
"3175",1457,1636
"3179",2064,815
"3181",1051,818
"3182",2011,5578
"3183",208,3654
"3184",208,2475
"3187",1051,5602
"3189",1111,79858
"3190",4067,4133
"3191",2560,5566
"3198",5596,9261
"3199",1459,7317
"3200",2898,5567
"3204",4296,5606
"3207",5321,5601
"3208",3717,5595
"3209",2890,5590
"3210",5566,8912
"3211",2908,5601
"3214",1025,2099
"3215",5139,5578
"3216",301,5588
"3217",1111,208
"3218",5597,9261
"3222",4233,5580
"3223",5597,5602
"3224",4842,5580
"3225",2261,6197
"3229",1051,5597
"3230",5289,983
"3231",5127,983
"3233",3105,5590
"3234",3985,9475
"3235",3269,5578
"3236",1459,7067
"3237",2560,5581
"3239",302,5584
"3241",10014,5562
"3242",1025,2903
"3243",4638,5596
"3244",4638,5602
"3245",1019,5604
"3246",1459,3326
"3247",1432,836
"3249",5598,6195
"3251",5142,5567
"3252",2099,983
"3253",2893,5581
"3254",1457,613
"3255",4323,5582
"3257",2099,5598
"3264",5563,5894
"3267",4842,5588
"3268",2908,5596
"3271",5588,5894
"3272",5594,7153
"3273",5597,5598
"3274",1459,613
"3275",1457,2268
"3277",1022,1460
"3278",4638,5567
"3280",2566,5590
"3282",3551,5347
"3283",5595,9261
"3284",3643,5579
"3285",1956,5588
"3290",3269,815
"3291",3708,5594
"3294",9201,9201
"3296",1025,5468
"3299",5298,983
"3300",2950,5578
"3301",5566,7442
"3302",27,27
"3303",2566,5581
"3309",5587,572
"3310",2932,5581
"3311",25,4233
"3312",1022,5058
"3316",1017,2099
"3318",4842,5590
"3319",3320,5566
"3320",3643,5584
"3321",6622,6714
"3322",1019,5127
"3323",1139,6714
"3325",207,6733
"3326",4233,5581
"3327",154,207
"3328",6714,8570
"3330",2931,2931
"3331",2931,5588
"3333",1612,7157
"3336",3932,5596
"3337",5601,9261
"3338",1263,7153
"3341",25,4067
"3342",5141,5566
"3343",1859,6622
"3344",2534,6331
"3345",1956,5600
"3348",240,5567
"3350",5588,5734
"3351",5566,7421
"3352",1432,2908
"3354",4792,6197
"3357",4790,5578
"3358",5581,9266
"3359",1051,5603
"3360",1459,7157
"3363",3105,5584
"3364",2560,5578
"3367",2898,5566
"3368",5578,9970
"3369",5602,6195
"3370",6714,7442
"3371",5321,5602
"3373",3717,5594
"3374",2908,5602
"3375",4140,5584
"3378",1022,6241
"3380",1432,6195
"3381",6197,6548
"3383",1051,2932
"3384",5578,7421
"3385",5595,5916
"3386",207,6788
"3387",5597,5601
"3388",150,5581
"3389",2904,5584
"3390",351,983
"3391",4842,5581
"3394",5587,5590
"3395",1021,1457
"3397",2890,5581
"3404",1017,5604
"3407",301,5578
"3408",3778,5578
